movie_id,title,genres
1,Baahubali,Action|Drama|Fantasy
2,Vikram,Action|Thriller|Crime
3,Ponniyin Selvan,Historical|Drama|Adventure
4,96,Romance|Drama
5,Thuppakki,Action|Thriller
6,Enthiran,Sci-Fi|Action|Romance
7,Vada Chennai,Crime|Drama|Thriller
8,Super Deluxe,Drama|Thriller|Mystery
9,Kannathil Muthamittal,Drama|War
10,Anbe Sivam,Drama|Comedy|Adventure
11,Roja,Romance|Drama|Patriotic
12,Bombay,Romance|Drama|Social
13,Nayakan,Crime|Drama
14,Kaaka Muttai,Drama|Comedy|Family
15,Asuran,Action|Drama|Thriller
16,Jai Bhim,Drama|Legal|Social
17,Soorarai Pottru,Drama|Biography
18,Karnan,Action|Drama|Social
19,Visaranai,Crime|Thriller|Drama
20,Pariyerum Perumal,Drama|Social|Romance
21,Leo,Action|Thriller|Crime
22,MS Dhoni: The Untold Story,Biography|Drama|Sports
23,Jeeva,Drama|Romance|Family
